CBO;DIT;FanIn ;FanOut ;LCOM;NOC;RFC;WMC;LOC;Attributes ;AttributesInherited ;Methods ;MethodsInherited ;Bugs 
4;1;2;2;55;0;33;36;118;4;0;11;8;0
26;2;1;26;190;0;176;175;526;4;68;20;33;3
2;1;2;0;10;0;5;5;18;4;0;5;16;0
1;2;1;0;0;0;1;1;3;0;11;1;47;0
3;3;1;2;66;0;35;16;60;3;95;12;73;0
15;2;2;13;15;1;104;46;223;4;18;6;62;1
18;2;7;11;136;4;81;56;165;4;18;17;62;0
5;1;3;2;3;0;12;12;77;2;0;3;8;1
7;7;1;6;15;1;17;10;38;0;386;6;97;1
15;1;10;6;120;1;122;93;383;10;0;16;16;0
6;2;0;6;21;0;23;39;142;16;0;7;11;0
62;4;58;5;105;0;47;32;124;4;97;15;79;0
4;1;2;2;21;0;32;24;233;12;14;7;8;0
25;1;7;21;465;0;319;196;661;14;0;31;0;0
7;4;1;7;136;0;57;26;98;5;99;17;100;0
3;1;1;2;45;0;20;18;64;4;0;10;8;0
17;1;4;13;66;1;54;38;144;6;48;12;11;1
6;3;1;5;91;0;53;27;107;5;95;14;73;0
1;1;1;0;10;2;5;4;12;0;5;5;14;0
22;1;5;18;55;2;89;51;242;5;0;11;8;0
23;5;13;11;28;2;56;38;132;1;397;8;64;0
10;2;1;9;36;0;44;32;186;5;0;9;11;0
9;2;0;9;66;0;54;26;89;5;2;12;41;0
2;2;1;2;496;0;68;43;145;2;8;32;46;0
12;3;2;11;36;0;60;40;155;1;5;9;21;0
1;4;1;0;3;1;3;3;9;0;37;3;85;0
1;1;1;0;45;0;27;18;55;3;0;10;8;0
61;1;44;17;171;0;143;120;513;6;12;19;8;1
1;2;0;1;1;0;6;4;9;1;1;2;18;0
20;4;5;15;300;0;78;55;222;7;52;25;129;1
21;3;7;15;28;4;59;69;198;2;408;8;58;2
5;8;4;2;15;0;11;7;26;1;82;6;319;0
1;1;1;0;0;0;1;1;4;2;0;1;8;0
11;4;3;8;28;0;35;16;62;0;28;8;91;0
12;2;1;11;21;0;61;31;156;0;5;7;19;0
9;1;0;9;1225;0;374;1169;3449;107;114;50;20;0
16;3;12;4;45;0;32;30;97;3;380;10;38;0
102;1;17;90;1431;0;572;419;1531;27;0;54;9;5
26;3;10;17;105;2;127;104;364;13;380;15;46;1
12;3;9;3;66;0;37;19;72;3;95;12;76;0
11;1;5;7;120;0;65;50;258;28;0;16;8;0
3;2;2;1;1;0;5;3;9;1;1;2;18;0
6;1;3;3;3;0;13;7;27;2;0;3;8;0
3;1;2;2;10;0;10;8;30;2;0;5;8;0
4;2;1;3;6;0;7;4;17;5;1;4;11;0
39;1;1;39;666;0;917;659;2557;50;23;37;8;2
6;6;0;6;36;0;64;47;266;6;415;9;117;0
5;3;3;2;3;0;6;5;22;3;1;3;31;0
4;1;1;3;1;0;5;2;12;2;0;2;8;0
5;2;2;3;3;0;10;9;30;0;8;3;19;0
43;4;22;23;496;0;118;79;235;2;51;32;157;1
39;3;32;10;253;3;64;74;251;1;34;23;24;3
3;4;1;2;6;0;8;6;24;1;35;4;47;0
2;3;1;1;1;0;7;4;12;0;387;2;32;0
2;5;1;1;1;0;4;2;10;0;400;2;65;0
3;2;3;0;6;0;4;4;13;3;28;4;16;0
8;2;4;4;10;0;15;12;35;1;18;5;62;0
1;4;1;0;6;0;4;4;13;3;3;4;38;1
19;7;1;18;78;0;226;140;551;2;426;13;124;2
18;3;1;17;276;0;169;207;768;8;135;24;67;0
5;3;3;2;28;0;18;8;29;1;95;8;73;0
4;2;2;2;3;0;5;5;14;2;0;3;15;0
12;1;10;2;15;0;12;8;28;2;0;6;10;0
48;7;10;43;1540;1;367;177;698;5;81;56;263;1
1;2;1;0;0;0;1;1;3;0;2;1;33;0
3;3;1;2;3;0;5;5;21;3;1;3;31;0
0;1;0;0;20706;0;204;204;612;0;0;204;212;1
8;5;4;4;91;3;29;21;78;0;384;14;77;0
24;1;6;19;120;3;125;73;407;17;11;16;9;1
28;1;18;11;351;4;92;108;379;16;125;27;8;2
4;7;1;3;3;0;20;9;36;2;397;3;124;0
12;2;1;11;15;0;49;26;120;2;18;6;62;0
9;4;0;9;6;0;28;16;72;0;384;4;41;0
7;2;4;4;171;0;62;86;238;15;119;19;16;0
23;2;4;20;276;1;135;86;305;9;3;24;25;0
4;3;1;3;6;0;11;27;80;1;388;4;33;0
2;3;1;1;3;0;5;5;23;3;1;3;31;0
12;3;4;9;45;1;37;30;110;3;3;10;17;0
9;2;4;5;66;1;61;29;92;3;0;12;13;0
6;3;1;5;136;0;61;29;117;9;95;17;73;0
13;1;0;13;351;0;368;449;2262;45;131;27;8;0
150;1;135;18;1830;19;209;206;657;102;0;61;8;0
2;1;1;1;45;1;11;12;48;11;0;10;8;1
11;3;0;11;15;0;69;45;192;6;380;6;38;0
7;3;1;6;105;0;85;57;220;3;95;15;73;1
4;1;3;1;10;0;11;17;47;4;0;5;8;0
13;1;12;1;6;0;8;4;40;0;0;4;8;0
39;1;4;36;190;0;211;148;712;5;0;20;8;1
3;1;1;2;1;0;16;7;23;0;0;2;8;0
6;2;3;4;45;1;51;50;121;4;58;10;24;0
2;2;1;1;1;0;4;2;24;3;28;2;25;0
2;1;1;1;10;0;8;8;27;3;0;5;8;0
32;6;10;22;210;5;277;253;787;5;414;21;94;6
38;3;27;16;595;6;177;92;327;0;35;35;83;0
8;3;8;0;1;0;2;4;8;2;37;2;72;0
2;6;2;1;3;0;5;3;13;2;68;3;210;0
4;2;1;3;36;0;25;12;48;3;3;9;27;0
4;1;1;3;15;0;17;32;88;3;0;6;8;0
16;1;9;7;276;1;79;49;276;7;0;24;16;0
2;6;2;0;0;0;2;1;7;2;67;1;58;1
25;1;23;2;55;0;31;45;127;4;0;11;16;0
23;4;18;5;21;0;23;13;48;2;49;7;148;0
24;5;11;13;45;4;82;34;178;1;52;10;161;0
2;4;2;0;1;0;2;1;4;1;6;2;25;0
41;1;9;33;210;0;170;89;426;19;0;21;8;1
1;6;1;0;10;1;5;4;12;1;11;5;47;0
17;1;15;2;15;2;13;13;47;2;0;6;8;0
6;2;4;2;28;0;26;15;59;2;5;8;13;0
10;6;1;9;15;0;87;56;230;2;415;6;117;0
7;2;1;6;1;0;14;6;35;0;52;2;25;1
2;3;1;1;66;0;33;16;59;3;95;12;73;0
11;2;5;6;45;0;38;15;68;4;1;10;12;0
2;1;2;0;3;0;3;3;10;5;0;3;16;0
13;3;1;12;300;0;130;129;495;3;170;25;67;5
8;1;6;2;21;3;20;14;44;2;0;7;8;0
87;2;72;21;276;2;157;169;546;12;262;24;80;1
84;1;68;30;703;0;312;321;1069;27;140;38;8;3
17;2;10;7;120;6;38;19;74;3;95;16;68;0
4;3;1;3;120;0;65;35;141;7;95;16;73;0
25;3;17;11;45;2;41;49;177;9;34;10;24;0
51;1;36;17;1431;14;244;141;528;18;0;54;8;0
31;3;2;29;171;1;278;125;516;3;34;19;78;1
7;3;4;3;190;0;63;33;127;7;95;20;82;0
4;3;3;2;21;0;15;12;46;1;7;7;22;0
16;3;2;14;36;0;61;26;102;2;22;9;78;0
8;5;1;7;6;0;25;24;65;0;397;4;94;0
14;2;11;6;136;1;54;45;136;6;153;17;16;4
14;1;0;14;6;0;59;32;121;6;0;4;9;0
6;2;4;2;105;0;40;19;70;24;95;15;68;0
23;2;15;9;666;0;120;100;344;16;95;37;68;0
5;3;1;4;66;0;39;19;72;3;95;12;73;0
13;2;2;12;91;0;50;36;112;11;1;14;12;0
24;3;19;7;276;0;70;61;190;6;40;24;71;0
4;1;3;1;45;0;26;41;177;276;0;10;8;2
10;4;1;9;15;0;32;20;66;2;384;6;69;0
15;4;2;14;741;0;195;85;328;4;50;39;176;0
8;1;6;2;45;0;24;30;117;4;0;10;16;0
0;1;0;0;1;1;2;0;0;5;0;2;8;0
78;3;2;76;21115;0;1156;1148;4390;94;427;206;96;1
4;3;1;4;28;0;21;27;65;0;69;8;37;1
7;3;5;2;78;0;31;16;59;13;95;13;76;0
5;2;4;1;66;0;14;13;39;1;152;12;41;0
3;1;1;2;6;0;9;5;17;2;14;4;11;0
21;2;11;11;1378;4;194;125;482;24;7;53;35;0
9;2;4;6;66;2;30;20;57;2;0;12;5;0
0;7;0;0;1;0;2;2;7;2;386;2;86;0
9;2;1;9;21;0;77;39;255;0;19;7;15;0
4;3;1;4;105;0;55;28;109;5;95;15;73;0
1;3;1;0;1;0;3;2;7;1;23;2;28;0
2;2;1;1;36;0;21;11;42;3;0;9;11;0
13;4;7;6;55;1;31;16;57;2;52;11;127;0
6;2;2;4;91;0;37;29;131;14;13;14;31;0
1;1;1;0;0;0;1;1;3;5;0;1;23;0
12;3;8;4;15;2;13;6;22;2;95;6;73;0
6;1;5;1;66;0;66;51;136;1;17;12;0;0
7;5;1;6;55;0;38;25;91;1;384;11;87;0
4;1;1;3;28;0;18;24;94;3;0;8;16;0
14;1;12;2;3;0;11;24;80;18;0;3;8;0
14;3;1;13;153;0;65;21;104;0;8;18;46;0
3;2;1;2;28;0;13;12;51;7;0;8;25;0
5;1;5;0;28;3;12;7;27;6;78;8;8;0
14;2;1;13;2080;1;237;223;681;4;402;65;8;0
6;3;3;3;66;0;37;19;71;3;95;12;73;0
3;1;3;0;45;0;10;0;0;0;0;10;8;0
1;3;1;0;1;0;2;2;7;1;37;2;72;1
4;3;1;3;91;0;51;27;109;5;95;14;73;0
1;6;0;1;3;0;7;3;13;2;386;3;85;0
9;2;0;9;21;0;36;30;103;1;33;7;82;0
47;4;27;27;903;2;273;134;554;3;59;43;160;1
3;1;0;3;3;0;8;6;19;1;0;3;8;0
33;4;19;16;45;3;94;118;357;5;384;10;69;1
7;6;2;5;15;1;34;25;87;4;394;6;107;1
6;7;1;5;3;0;23;15;40;0;419;3;115;0
22;1;6;16;903;0;273;133;474;12;0;43;8;0
6;3;1;5;21;0;17;9;32;0;380;7;38;0
50;1;18;37;1891;1;1095;1042;6113;22;249;62;8;6
18;1;2;17;55;0;159;108;469;8;0;11;8;1
6;5;1;5;36;3;29;19;72;2;384;9;76;0
36;1;30;7;861;0;294;225;841;54;0;42;8;1
4;4;1;4;10;0;12;13;26;1;14;5;59;0
5;2;2;3;136;0;30;53;191;9;219;17;55;0
6;2;6;1;28;6;10;8;24;0;95;8;68;0
0;1;0;0;91;0;14;14;42;0;0;14;22;0
6;1;6;0;0;0;1;1;3;1;0;1;22;0
5;1;1;4;6;0;15;15;51;2;0;4;8;0
47;1;38;9;1225;4;374;1169;3449;107;114;50;8;1
12;5;5;7;36;0;32;23;81;4;400;9;65;0
11;3;5;7;171;0;75;40;155;10;95;19;73;0
2;5;2;0;0;0;2;1;7;2;83;1;57;1
141;1;137;4;561;0;91;262;845;3;0;34;8;0
6;2;1;5;21;0;32;39;136;1;10;7;15;0
16;2;1;15;171;0;221;191;707;10;52;19;25;0
40;2;22;21;253;0;128;174;536;23;391;23;31;2
2;6;1;1;10;0;12;8;28;0;415;5;93;0
4;3;1;3;15;0;11;6;20;1;9;6;42;0
5;2;1;5;10;0;30;35;69;1;68;5;33;1
51;1;50;3;703;2;60;20;66;8;0;38;8;0
15;3;12;3;55;0;29;13;47;3;95;11;73;0
6;2;3;4;136;0;60;31;121;8;95;17;68;0
12;1;1;11;10;0;62;43;145;3;0;5;8;1
8;6;2;6;28;0;34;20;71;5;385;8;95;0
9;3;5;4;91;0;45;23;87;3;95;14;76;0
1;4;1;0;3;0;3;3;11;2;3;3;38;1
10;2;9;1;28;1;10;5;16;2;2;8;11;1
12;1;1;11;15;0;25;15;63;2;0;6;8;0
13;1;0;13;23005;0;1156;265;1585;17;0;215;212;2
5;3;1;4;66;0;39;19;72;3;95;12;73;0
3;3;3;0;1;4;2;2;6;1;2;2;36;1
5;6;1;4;3;0;13;8;32;1;389;3;83;0
6;2;1;5;36;0;30;24;75;2;0;9;11;0
1;2;0;1;3;0;5;4;10;2;0;3;13;0
3;2;3;0;66;0;14;12;37;1;152;12;41;0
1;4;1;0;0;3;1;0;0;1;7;1;25;0
4;3;1;3;6;0;10;7;31;3;1;4;32;0
9;3;3;6;136;0;63;35;125;7;97;17;84;0
3;5;2;1;3;0;5;3;10;1;52;3;138;0
1;4;1;0;3;1;3;3;9;0;34;3;84;0
4;2;1;3;21;3;11;8;23;1;4;7;33;0
6;4;1;5;3;0;16;9;31;1;410;3;66;0
8;3;2;7;276;0;104;54;208;14;95;24;73;0
1;1;1;0;0;0;1;1;3;2;0;1;23;0
5;1;4;1;6;0;8;4;17;2;0;4;8;0
43;4;36;10;153;3;72;48;144;0;384;18;69;0
3;1;3;0;3;0;4;4;9;7;0;3;8;0
3;2;1;2;3;0;7;10;31;3;219;3;55;0
13;2;7;7;136;0;66;36;130;8;95;17;68;0
13;3;2;11;21;0;46;34;96;2;380;7;38;0
2;1;2;0;3;18;3;3;9;0;0;3;8;0
7;4;6;2;21;3;13;5;25;0;384;7;69;0
8;4;8;0;1;0;2;2;9;2;35;2;47;0
27;1;15;24;300;11;157;209;580;29;39;25;8;1
12;1;2;10;36;2;45;59;230;13;0;9;9;1
0;1;0;0;45;0;10;9;27;1;0;10;15;0
55;1;2;53;2080;0;680;470;1947;12;0;65;8;1
22;5;2;20;36;2;153;117;414;2;392;9;93;1
2;4;1;1;1;2;3;12;34;6;61;2;45;0
14;3;3;11;91;0;111;79;289;11;5;14;21;1
24;1;21;3;45;0;27;36;103;3;0;10;16;0
10;3;4;6;210;4;61;33;146;5;38;21;118;0
13;4;2;11;780;0;162;104;404;13;50;40;189;0
4;5;1;3;6;0;16;5;24;0;397;4;64;0
24;2;8;17;55;3;172;269;708;8;380;11;27;3
22;2;1;22;1653;0;361;271;952;16;6;58;67;1
2;1;2;0;10;1;5;4;12;0;0;5;8;0
4;3;1;3;66;0;35;16;59;3;95;12;73;0
1;2;1;0;0;0;1;1;4;1;10;1;13;1
38;1;33;5;15;0;30;12;52;2;0;6;0;0
4;1;3;1;15;0;13;19;56;3;0;6;8;0
1;2;1;0;0;0;1;1;3;0;2;1;33;0
8;2;1;8;6;0;48;21;83;1;18;4;62;0
12;2;1;11;253;0;66;64;285;23;8;23;40;0
9;5;1;8;55;0;70;37;158;2;384;11;77;0
7;2;2;5;6;0;25;13;44;1;0;4;39;0
32;7;3;31;465;1;241;118;529;4;69;31;240;1
1;3;1;0;10;0;13;10;28;1;405;5;73;0
8;2;3;6;136;0;60;28;109;7;95;17;68;0
0;1;0;0;15;3;6;6;18;0;0;6;8;0
6;5;2;4;6;0;12;9;28;0;37;4;88;0
4;1;1;4;15;0;19;19;52;1;0;6;8;0
10;1;6;5;10;2;13;4;17;0;0;5;8;0
5;1;1;5;36;0;26;14;44;2;0;9;8;0
4;1;3;1;45;1;21;13;69;2;0;10;8;0
10;4;6;5;55;2;30;16;56;3;52;11;128;1
5;2;2;3;36;2;22;22;82;8;0;9;15;0
7;1;3;5;21;2;25;7;104;5;0;7;8;0
13;3;1;12;91;0;110;51;231;3;58;14;34;0
16;2;1;16;231;0;90;71;232;8;6;22;30;0
4;2;2;2;190;0;31;58;164;12;563;20;24;0
0;1;0;0;0;0;1;1;3;9;0;1;22;0
24;2;2;23;210;0;322;215;706;9;19;21;37;1
2;3;1;1;3;0;8;4;17;0;384;3;31;0
29;3;19;13;351;7;83;50;171;1;35;27;76;0
3;8;1;2;3;0;10;5;16;0;386;3;103;0
6;2;1;5;78;0;32;24;77;3;0;13;5;0
6;3;0;6;231;0;61;44;154;8;5;22;27;0
4;5;1;3;3;0;13;5;20;2;400;3;65;0
4;2;4;0;66;0;14;12;36;1;152;12;41;0
4;1;1;3;15;0;17;32;88;3;0;6;8;0
21;2;5;16;15;0;57;51;209;13;3;6;12;0
29;1;1;29;136;0;215;162;462;2;39;17;8;1
10;4;1;9;3;0;19;7;27;2;11;3;64;0
16;2;1;15;15;0;57;52;216;2;3;6;12;0
4;1;1;3;28;0;17;16;50;4;0;8;8;0
16;2;1;15;105;0;61;43;155;7;6;15;23;0
6;2;1;6;66;1;126;84;276;5;55;12;27;0
4;1;0;4;0;0;25;3;73;0;0;1;0;0
4;1;2;2;45;0;33;43;156;13;0;10;8;0
12;6;1;11;15;1;27;17;76;2;384;6;91;0
2;8;1;1;10;0;8;6;17;3;429;5;120;0
14;2;1;14;465;0;85;86;290;14;6;31;39;0
33;3;6;29;105;0;145;118;437;2;408;15;58;3
14;2;2;12;10;0;58;19;87;2;18;5;62;0
7;1;0;7;15;0;31;24;128;13;15;6;8;1
4;2;1;3;6;2;13;15;36;1;68;4;33;1
8;2;1;7;66;0;63;41;136;4;18;12;18;0
7;1;1;7;21;0;36;35;99;5;0;7;8;0
21;3;2;19;21;0;99;79;334;16;380;7;38;1
2;1;1;1;6;1;10;7;16;3;0;4;8;1
26;1;26;0;595;1;35;35;105;0;0;35;8;0
4;1;1;3;105;0;52;89;325;16;0;15;8;0
1;3;1;0;0;0;1;0;0;3;4;1;19;0
1;1;1;0;10;0;11;7;29;34;0;5;22;0
9;2;3;6;78;1;42;32;101;5;0;13;18;0
4;4;1;3;10;0;14;17;35;1;14;5;60;0
5;3;2;3;6;0;11;16;33;4;5;4;31;0
128;2;126;11;1596;3;197;273;773;12;28;57;16;3
4;3;1;3;6;0;10;7;23;1;143;4;40;0
18;3;1;17;21;0;63;32;163;4;380;7;38;2
2;5;0;2;36;1;20;16;54;9;61;9;49;1
2;1;2;0;0;0;1;0;0;0;0;1;8;0
2;3;1;1;1;0;7;4;11;0;387;2;32;0
7;1;2;5;78;0;46;18;82;1;0;13;8;0
6;4;2;4;6;0;16;10;29;0;384;4;48;0
13;5;1;12;10;0;73;49;184;2;421;5;93;1
7;1;5;2;15;1;19;12;39;3;0;6;8;0
9;3;2;8;406;0;114;85;368;4;8;29;41;0
13;4;1;12;3;0;32;13;61;7;61;3;45;0
4;2;1;3;28;0;21;14;49;7;0;8;26;0
3;2;1;2;3;0;14;8;62;1;0;3;13;0
2;5;1;1;1;0;4;3;14;1;400;2;65;0
5;4;1;4;3;0;16;11;34;0;393;3;61;0
23;1;5;18;10;0;85;50;200;4;0;5;8;0
2;1;1;1;3;0;11;7;24;2;0;3;10;0
7;1;3;4;45;0;27;36;103;3;0;10;16;0
34;2;4;32;2080;0;547;218;907;12;0;65;13;2
17;3;2;15;55;2;81;74;217;4;380;11;38;1
2;2;2;0;0;0;1;1;3;0;2;1;33;0
3;3;1;2;3;0;5;5;21;3;1;3;31;0
19;1;3;16;36;0;116;79;271;6;12;9;11;0
10;3;6;4;91;0;47;22;88;6;95;14;76;0
5;2;2;3;1;0;18;12;50;3;0;2;39;0
6;2;3;3;15;0;11;10;23;1;0;6;13;0
29;1;6;25;171;0;244;181;691;13;12;19;8;0
8;8;3;5;21;0;24;34;115;3;507;7;120;1
17;1;14;3;45;0;26;33;122;4;0;10;16;0
16;7;3;13;36;2;115;91;296;1;387;9;101;1
19;1;4;16;190;0;76;43;332;17;26;20;8;0
9;4;0;9;6;0;29;17;75;0;384;4;41;0
8;3;1;7;15;0;28;13;44;2;380;6;38;0
42;6;6;39;1128;1;258;121;480;0;69;48;250;0
3;2;1;2;28;0;24;20;127;8;0;8;25;0
7;1;0;7;6;0;28;14;50;2;0;4;0;0
46;1;21;27;946;0;567;396;1340;43;5;44;21;4
6;3;1;5;36;0;28;12;50;0;38;9;116;0
1;5;0;1;36;0;14;12;40;4;61;9;49;1
21;3;3;20;45;0;82;55;251;3;3;10;17;1
1;7;1;0;1;0;2;1;3;3;12;2;52;0
2;6;1;1;6;0;11;4;29;0;386;4;85;0
4;1;3;1;28;0;16;9;28;2;0;8;8;0
1;6;1;0;10;0;5;4;13;1;11;5;47;0
8;6;4;5;15;2;21;12;62;1;386;6;95;0
25;2;1;24;1711;0;308;138;1200;11;402;59;8;0
2;1;2;0;3;0;7;4;15;2;0;3;23;0
2;7;1;1;28;0;26;18;55;1;396;8;102;0
5;4;4;1;300;4;63;73;1520;1;411;25;69;0
1;1;0;1;1;0;3;2;6;1;0;2;9;0
5;5;5;0;1;0;3;2;7;1;55;2;139;0
6;3;1;6;120;0;59;27;110;7;95;16;73;0
40;2;3;38;630;1;252;99;525;15;0;36;36;1
9;6;2;7;10;2;29;17;66;3;385;5;95;0
15;2;2;14;78;0;89;66;269;3;19;13;37;1
13;1;6;7;861;2;329;426;1399;58;78;42;8;7
3;8;3;1;10;0;8;6;23;1;69;5;243;0
23;1;19;6;78;0;52;53;134;7;0;13;8;1
17;1;11;9;66;0;86;51;192;5;0;12;8;3
2;3;1;1;66;0;28;14;52;3;95;12;73;0
18;2;3;15;561;1;263;159;629;2;5;34;10;1
7;2;2;6;6;0;14;10;28;7;0;4;13;0
